thesaurus_title, gcmd_keyword
"Global change Master Directory Earth Science Keywords v.5.3.8", "Atmosphere | Radiation Budget | Sunshine"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN CHEMISTRY > CHLOROPHYLL"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/VERTEBRATES | MAMMALS | CETACEANS"
"NASA/GCMD Earth Science Keywords", "AQUA > Earth Observing System, AQUA"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Landing Bluff"
"NASA/GCMD Earth Science Keywords", "SEISMOGRAPHS"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Alkalinity"
"Global change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Pressure | Sea Level Pressure"
"GCMD Keywords", "Earth Science | Oceans | Ocean Circulation | Convection"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > COASTAL PROCESSES > SALTWATER INTRUSION"
"NASA/GCMD Earth Science Keywords", "GEOGRAPHIC REGION > GLOBAL OCEAN"
"NASA/GCMD Earth Science Keywords", "DOAS > Differential Optical Absorption Spectrometers"
"Global change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Marine Sediments | Sediment Characteristics"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Hydrosphere | Water Quality | Dissolved Gases"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | CLIMATE INDICATORS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Salinity/density | Density"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/INVERTEBRATES > CNIDARIANS > JELLYFISHES"
"GCMD Keywords", "Earth Science | Oceans | Marine Sediments | Sedimentary Structures"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > WATER QUALITY"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > MAWSON RESEARCH STATION"
"Global change Master Directory Earth Science Keywords v.5.3.8", "Marine science, marine biology, marine ecology, marine biota, oceanography, environmental geology, oceans, coastal processes, coasts, coastal watersheds, sediment, paleoclimatology, fisheries, ichthyology"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | COASTAL PROCESSES | SEDIMENTATION"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Temperature | Thermocline"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > PRYDZ BAY"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ENVIRONMENTAL ADVISORIES > MARINE ADVISORIES > OCEAN TEMPERATURE"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | LAND SURFACE | GEOMORPHIC LANDFORMS/PROCESSES"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "MARINE HABITAT"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "BENTHIC HABITAT"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Oceans | Ocean Circulation | Ocean Mixed Layer"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/VERTEBRATES | REPTILES | LIZARDS/SNAKES"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | MARINE GEOPHYSICS | PLATE TECTONICS"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Radionuclides"
"NASA/GCMD Earth Science Keywords", "Oceans > Coastal Processes > Beaches"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/VERTEBRATES | FISH | SHARKS/RAYS/CHIMAERAS"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Optics | Turbidity"
"NASA/GCMD Earth Science Keywords", "WEATHER STATIONS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > AQUATIC SCIENCES > FISHERIES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SOLID EARTH > GEOCHEMISTRY > GEOCHEMICAL PROPERTIES > ISOTOPIC AGE"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | PALEOCLIMATE | OCEAN/LAKE RECORDS | ISOTOPES"
