thesaurus_title, gcmd_keyword
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC CHEMISTRY > SULFUR COMPOUNDS > SULFUR OXIDES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > WATER QUALITY/WATER CHEMISTRY > WATER CHARACTERISTICS > ALKALINITY"
"GCMD Keywords", "Earth Science | Terrestrial Hydrosphere | Snow/Ice | Snow Depth"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Ocean Chemistry | Nutrients"
"GCMD Keywords", "Earth Science | Terrestrial Hydrosphere"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Biosphere | Ecological Dynamics | Nutrient Cycling"
"GCMD Keywords", "Earth Science | Atmosphere | Clouds"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Biosphere | Aquatic Habitat | Estuarine Habitat"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > K-AXIS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Ocean Circulation | Buoy Position"
"NASA/GCMD Earth Science Keywords", "RADARSAT-2"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > SNOW/ICE > ICE VELOCITY"
"NASA/GCMD Earth Science Keywords", "AUVS > Autonomous Underwater Vehicles"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Coastal Processes | Shoreline Displacement"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/INVERTEBRATES > ROTIFERS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Optics | Photosynthetically Active Radiation"
"NASA/GCMD Keywords, Version 8.5", "SEAFLOOR TOPOGRAPHY"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | COASTAL PROCESSES | STORM SURGE"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CRYOSPHERE > SEA ICE > SEA ICE CONCENTRATION"
"NASA/GCMD Earth Science Keywords", "XBT > Expendable Bathythermographs"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOSYSTEMS > MARINE ECOSYSTEMS > BENTHIC"
"Global Change Master Directory Earsh Science Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | SPECIES/POPULATION INTERACTIONS | RANGE CHANGES"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 8.1", ""EARTH SCIENCE","OCEANS","MARINE SEDIMENTS","TURBIDITY""
"GCMD Keywords", "Earth Science | Oceans | Bathymetry/Seafloor Topography | Submarine Canyons"
"GCMD Keywords", "Earth Science | Climate Indicators | Atmospheric/Ocean Indicators | Temperature Indices | Heating Degree Days"
"NASA/GCMD Earth Science Keywords", "R/V TANGAROA"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Coastal Processes | Marshes"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Oceans | Water Quality | Toxic Chemicals"
"NASA/GCMD Earth Science Keywords", "CONTINENT > AUSTRALIA/NEW ZEALAND > AUSTRALIA > Brisbane"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Biosphere | Microbiota | Foraminifers"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > GLACIERS/ICE SHEETS > ICE SHEETS"
"NASA/GCMD Earth Science Keywords", "ROV > Remotely Operated Vehicles"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Prince Charles Mountains"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Ellis fjord"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN CIRCULATION > FRONTS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > PROTISTS > FLAGELLATES > DINOFLAGELLATES"
"NASA/GCMD Earth Science Keywords", "Aircraft"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Hydrosphere | Water Quality | Water Temperature"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS | MARINE ECOSYSTEMS"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | BACTERIA/ARCHAEA"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | OCEAN CHEMISTRY | CARBON DIOXIDE"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > ELLIS FJORD"
"Global change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Waves | Swells"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | COASTAL PROCESSES | ROCKY COASTS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN CHEMISTRY > RADIONUCLIDES"
"NASA/GCMD Earth Science Keywords", "OCEAN > ATLANTIC OCEAN > SOUTH ATLANTIC OCEAN > SOUTH GEORGIA ISLAND > OCEAN HARBOUR"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > DEW POINT TEMPERATURE"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN WINDS > WIND STRESS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > PRECIPITATION > SOLID PRECIPITATION > SNOW"
"GCMD Keywords", "Earth Science | Oceans | Ocean Optics | Secchi Depth"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Ocean Waves | Wave Period"
"NASA/GCMD Earth Science Keywords", "GYROS"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > Diego Ramirez"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > LAND SURFACE > GEOMORPHIC LANDFORMS/PROCESSES > COASTAL LANDFORMS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SPECTRAL/ENGINEERING > MICROWAVE > BRIGHTNESS TEMPERATURE"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Biosphere | Zoology | Mollusks"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/INVERTEBRATES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SOLID EARTH > TECTONICS > PLATE TECTONICS > FOLDS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Circulation | Ocean Currents"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Biosphere | Ecological Dynamics | Food-web Dynamics"
"GCMD Keywords", "Earth Science | Atmosphere | Precipitation | Rain"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Hydrosphere | Water Quality | Oxygen"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Biosphere | Ecological Dynamics | Herbivory"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > PALEOCLIMATE > OCEAN/LAKE RECORDS > ISOTOPES"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Hydrosphere | Water Quality"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Hydrosphere | Snow/ice | Albedo"
"NASA/GCMD Earth Science Keywords", "AIRCRAFT"
"NASA/GCMD Earth Science Keywords", "LABORATORY > LABORATORY"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Biosphere | Ecological Dynamics | Community Structure"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Marine Biology | Marine Mammals"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Circulation | Fresh Water Flux"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CLIMATE INDICATORS > PALEOCLIMATE INDICATORS > PALEOCLIMATE RECONSTRUCTIONS > SEDIMENTS"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Trace Elements"
"NASA/GCMD Earth Science Keywords", "R/V AA > R/V Aurora Australis"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Water Quality | Turbidity"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Marine Biology"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS | MARINE ECOSYSTEMS | COASTAL"
"GCMD Keywords", "Earth Science | Biological Classification | Animals/Vertebrates | Birds | Penguins"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Chemistry | Carbonate"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > PALEOCLIMATE > OCEAN/LAKE RECORDS > SEDIMENTS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > HUMAN DIMENSIONS > INFRASTRUCTURE > TRANSPORTATION"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > SVENNER ISLANDS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TELECONNECTIONS > ANTARCTIC OSCILLATION (AAO)"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | COMMUNITY DYNAMICS | SPECIES RECRUITMENT"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SOLID EARTH > GEOMORPHIC LANDFORMS/PROCESSES"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Marine Biology | Marine Reptiles"
"NASA/GCMD Earth Science Keywords", "LANDSAT"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | BIOSPHERE | AQUATIC ECOSYSTEMS | COASTAL HABITAT"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Atmosphere | Atmospheric Pressure | Sea Level Pressure"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | COASTAL PROCESSES | SHORELINES"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Biosphere | Microbiota | Phytoplankton"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | SPECIES/POPULATION INTERACTIONS | ENDANGERED SPECIES"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | SOLID EARTH | ROCKS/MINERALS/CRYSTALS | METAMORPHIC ROCKS | METAMORPHIC ROCK FORMATION"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Coastal Processes | Coral Reefs"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "MIGRATORY RATES/ROUTES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > SEA ICE > ICE EDGES"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | ECOSYSTEM FUNCTIONS | NUTRIENT CYCLING"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Biosphere | Ecological Dynamics | Life History | reproduction"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Radiance Or Imagery | Infrared Wavelengths | Infrared Imagery"
"NASA/GCMD Earth Science Keywords", "CONDUCTIVITY METERS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Human Dimensions | Environmental Impacts"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WATER VAPOR > WATER VAPOR INDICATORS > HUMIDITY > RELATIVE HUMIDITY"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > PROTISTS > FLAGELLATES > HAPTOPHYTES > COCCOLITHOPHORES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC CHEMISTRY > CARBON AND HYDROCARBON COMPOUNDS > CARBON DIOXIDE"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Salinity/density | Conductivity"
"GCMD Keywords", "Earth Science | Oceans | Ocean Circulation | Gyres"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | CLIMATE INDICATORS | ATMOSPHERIC/OCEAN INDICATORS | SEA SURFACE TEMPERATURE INDICES"
"NASA/GCMD Earth Science Keywords", "SEISMIC REFLECTION PROFILERS"
"GCMD Keywords", "Earth Science | Atmosphere | Clouds | Cloud Microphysics | Cloud Liquid Water/Ice"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > PRINCESS ELIZABETH TROUGH"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > SURFACE WINDS > WIND DIRECTION"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "INVASIVE SPECIES"
"NASA/GCMD Earth Science Keywords", "LIGHT MICROSCOPE"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Optics | Turbidity"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | HUMAN DIMENSIONS | SOCIAL BEHAVIOR | CONSERVATION"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > Albatross Islet"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Water Quality | Ph"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Paleoclimate | Ocean/lake Records | Sediments"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Biosphere | Terrestrial Ecosystems | Wetlands"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Chemistry | Trace Elements"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > PLANTS > MICROALGAE > HAPTOPHYTES > COCCOLITHOPHORES"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Agriculture | Agricultural Aquatic Sciences | Fisheries"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Dissolved Gases"
"GCMD Keywords", "Earth Science | Biological Classification | Protists | Flagellates | Haptophytes | Coccolithophores"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | OCEAN CHEMISTRY | BIOGEOCHEMICAL CYCLES"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE SERVICES | ENVIRONMENTAL ADVISORIES | MARINE ADVISORIES | MARINE BIOLOGY"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Landing Bluff"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Biosphere | Ecological Dynamics | Life History"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | COMMUNITY DYNAMICS | GRAZING DYNAMICS / PLANT ECOLOGY"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN WAVES > SWELLS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > MARINE SEDIMENTS > SEDIMENTARY TEXTURES"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Cape Hallett"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Marine Sediments | Turbidity"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Biosphere | Ecological Dynamics | Survival"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Biosphere | Ecological Dynamics | Herbivory"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN CHEMISTRY > INORGANIC MATTER"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > ACOUSTIC SCATTERING"
"GCMD Keywords", "Earth Science | Biological Classification | Animals/Invertebrates | Arthropods | Myriapods | Millipedes"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | LAND SURFACE | GEOMORPHOLOGY | TECTONIC LANDFORMS/PROCESSES"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > COMMONWEALTH BAY"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Biosphere | Ecological Dynamics | Community Structure"
"NASA/GCMD Earth Science Keywords", "STC > SALINITY, TEMPERATURE , CONDUCTIVITY"
"NASA/GCMD Earth Science Keywords", "OCEAN > PACIFIC OCEAN > SOUTH PACIFIC OCEAN > TASMAN SEA"
"NASA/GCMD Earth Science Keywords", "AMD/FR"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Water Quality | Phosphorous Compounds"
"GCMD Keywords", "Earth Science | Oceans | Marine Volcanism | Island Arcs"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Carbonate"
"GCMD Keywords", "Earth Science | Biological Classification | Animals/Invertebrates | Mollusks"
"NASA/GCMD Earth Science Keywords", "SCAR-MARBIN > SCAR Marine Biodiversity Information Network"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > ECOTOXICOLOGY > TOXICITY LEVELS"
"NASA/GCMD Earth Science Keywords", "BIOMETER > BIOMETER"
"NASA/GCMD Earth Science Keywords", "CONTINENT > AUSTRALIA/NEW ZEALAND > AUSTRALIA > Tasmania"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Hydrosphere | Water Quality | Water Temperature"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Salinity/density | Desalinization"
"NASA/GCMD Earth Science Keywords", "VAISALA HUMICAP HMP155 > VAISALA HUMICAP HUMIDITY AND TEMPERATURE PROBE HMP155"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | TERRESTRIAL HYDROSPHERE | GLACIERS/ICE SHEETS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Oceans | Marine Sediments | Sedimentation"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Paleoclimate | Ocean/lake Records | Microfossils"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Oceans | Ocean Chemistry | Stable Isotopes"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Radiance Or Imagery | Ultraviolet Wavelengths | Ultraviolet Radiance"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | VEGETATION | PIGMENTS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Atmosphere | Atmospheric Pressure | Atmospheric Pressure"
"GCMD Keywords", "Earth Science | Oceans | Salinity/Density | Salt Transport"
"GCMD", "Oceans | Ocean Waves | Wind Waves"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SPECTRAL/ENGINEERING > PLATFORM CHARACTERISTICS > AIRSPEED/GROUND SPEED"
"GCMD Keywords", "Earth Science | Biological Classification | Animals/Invertebrates | Cnidarians | Anthozoans/Hexacorals | Hard Or Stony Corals"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | SPECIES/POPULATION INTERACTIONS | DIURNAL MOVEMENTS"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | WATER QUALITY | OCEAN CONTAMINANTS"
"NASA/GCMD Earth Science Keywords", "SONOBUOYS"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Hydrosphere | Water Quality | Turbidity"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN TEMPERATURE > THERMOCLINE"
"GCMD Keywords", "Earth Science | Biosphere | Aquatic Ecosystems | Estuarine Habitat"
"GCMD Keywords", "Earth Science | Solid Earth | Rocks/Minerals/Crystals | Sedimentary Rocks"
"GCMD Keywords", "Earth Science | Oceans | Coastal Processes | Estuaries"
"NASA/GCMD Earth Science Keywords", "DRIFTING BUOYS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Oceans | Salinity/density | Conductivity"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Oceans | Marine Sediments | Sediment Composition"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Oceans | Water Quality | Suspended Solids"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > CLOUDS > CLOUD PROPERTIES > CLOUD AMOUNT"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Hydrosphere | Surface Water | Stream Chemistry"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Paleoclimate | Ocean/lake Records | Isotopes"
"NASA/GCMD Earth Science Keywords", "ALPHA-SPECTROMETERS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CRYOSPHERE > SNOW/ICE > SNOW WATER EQUIVALENT"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/VERTEBRATES | FISH | SHARKS/RAYS/CHIMAERAS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 8.1", ""EARTH SCIENCE","BIOSPHERE","AQUATIC ECOSYSTEMS","BENTHIC HABITAT""
"NASA/GCMD Keywords, Version 8.5", "WATER DEPTH"
"Global change Master Directory Earth Science Keywords v.5.3.8", "Solid Earth | Seismology | Earthquake Occurrences"
"NASA/GCMD Earth Science Keywords", "MR > MICROWAVE RADIOMETER"
"NASA/GCMD Earth Science Keywords", "R/V AKADEMIK TRESHNIKOV"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN CHEMISTRY > ORGANIC MATTER"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Biosphere | Zoology | Sponges"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOSYSTEMS > FRESHWATER ECOSYSTEMS > LAKE/POND"
"GCMD Keywords", "Earth Science | Oceans | Ocean Waves | Wave Types"
"GCMD Keywords", "Earth Science | Oceans | Marine Sediments | Suspended Solids"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > WEATHER EVENTS > TROPICAL CYCLONES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TELECONNECTIONS > ANTARCTIC OSCILLATION"
"NASA/GCMD Earth Science Keywords", "AMSR2 > Advanced Microwave Scanning Radiometer 2"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > YULE BAY"
"GCMD Science Keywords 5.3.8", "Human Dimensions | Boundaries | Administrative Divisions"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/VERTEBRATES | MAMMALS | CETACEANS"
"NASA/GCMD Earth Science Keywords", "GLAS > Geoscience Laser Altimeter System"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | TERRESTRIAL HYDROSPHERE | WATER QUALITY/WATER CHEMISTRY"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > SPECIES/POPULATION INTERACTIONS > EVOLUTIONARY ADAPTATION"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Marine Biology | Fish | larvae"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Deception Island"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Chemistry | Carbon And Hydrocarbon Compounds | Methane"
"NASA/GCMD Earth Science Keywords", "LABORATORY"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES > MAMMALS > RODENTS"
"GCMD Keywords", "Earth Science | Biological Classification | Animals/Invertebrates | Arthropods | Hexapods | Insects"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > SPECIES/POPULATION INTERACTIONS > NATURAL SELECTION"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > ACOUSTIC ATTENUATION/TRANSMISSION"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | CRYOSPHERE | GLACIERS/ICE SHEETS | GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY"
"GCMD Keywords", "Earth Science | Biosphere | Ecological Dynamics | Species/Population Interactions | Range Changes"
"Global Change Master Directory Earsh Science Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/VERTEBRATES | FISH"
"NASA/GCMD Keywords, Version 8.5", "FRACTURE ZONES"
"GCMD Keywords", "Earth Science | Biological Classification | Plants | Macroalgae (Seaweeds)"
"NASA/GCMD Earth Science Keywords", "PHANEROZOIC > CENOZOIC"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Biosphere | Zoology | Crustaceans"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > DAVIES BAY"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Atmosphere | Atmospheric Winds | Surface Winds"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > CRYOSPHERE > SEA ICE > SEA ICE MOTION"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Chemistry | Biogeochemical Cycles"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | MARINE GEOPHYSICS | PLATE TECTONICS"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | OCEANS | MARINE GEOPHYSICS | MARINE MAGNETICS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Tides | Tidal Currents"
"GCMD Keywords", "Earth Science | Human Dimensions | Habitat Conversion/Fragmentation | Eutrophication"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", "Land Surface | Geomorphology | Coastal Landforms/processes"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > MARINE SEDIMENTS > STRATIGRAPHIC SEQUENCE"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Honkala Island"
"GCMD Keywords", "Earth Science | Land Surface | Erosion/Sedimentation | Sediment Transport"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Oceans | Ocean Chemistry | Hydrocarbons"
"NASA/GCMD Earth Science Keywords", "MAPS"
"GCMD Keywords", "Earth Science | Cryosphere | Sea Ice | Heat Flux"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > ZHONG SHAN"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Water Quality | Stable Isotopes"
"NASA/GCMD Earth Science Keywords", "Terra > Earth Observing System, Terra (AM-1)"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | CRYOSPHERE | GLACIERS/ICE SHEETS"
"GCMD Keywords", "Earth Science | Oceans | Ocean Chemistry | Organic Matter"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | CLIMATE INDICATORS | PALEOCLIMATE INDICATORS"
"GCMD Keywords", "Earth Science | Biosphere | Aquatic Ecosystems | Demersal Habitat"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Ocean Waves | Wind Waves"
