thesaurus_title, gcmd_keyword
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | BIOSPHERE | AQUATIC ECOSYSTEMS | ESTUARINE HABITAT"
"GCMD Earth Science and Earth Science Services Keywords", "PELAGIC"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > KERGUELEN PLATEAU"
"NASA/GCMD Earth Science Keywords", "GPS > Global Positioning System"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Hydrosphere | Water Quality | Chlorophyll"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 8.1", ""EARTH SCIENCE","BIOLOGICAL CLASSIFICATION","PLANTS","MACROALGAE (SEAWEEDS)"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > Kerguelen Plateau"
"NASA/GCMD Earth Science Keywords", "ETM+ > Enhanced Thematic Mapper Plus"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Atmosphere | Atmospheric Electricity | Electric Field"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Bathymetry | Water Depth"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WATER VAPOR > WATER VAPOR INDICATORS > DEW POINT TEMPERATURE"
"GCMD Keywords", "Earth Science | Biosphere | Vegetation | Litter Characteristics"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > SPECIES/POPULATION INTERACTIONS > GRAZING DYNAMICS/PLANT HERBIVORY"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Marine Geophysics"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | PLANTS | MACROALGAE (SEAWEEDS) | BROWN ALGAE"
"GCMD Keywords", "Earth Science | Atmosphere | Precipitation | Droplet Size"
"Global Change Master Directory Earth Science Keywords v5.3.8", "Biosphere | Aquatic Habitat | Lakes"
"NASA/GCMD Earth Science Keywords", "INCUBATOR"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > COMMUNITY DYNAMICS > PLANT SUCCESSION"
"NASA/GCMD Earth Science Keywords", "FIA > FLOW INJECTION ANALYSIS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | AGRICULTURE | AGRICULTURAL AQUATIC SCIENCES | AQUACULTURE"
"NASA/GCMD Keywords, Version 8.5", "BENTHIC"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN CHEMISTRY > CARBON"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Marine Sediments | Carbonate Sediments"
"GCMD Earth Science and Earth Science Services Keywords", "KELP FOREST"
"NASA/GCMD Earth Science Keywords", "CONTINENT > AUSTRALIA/NEW ZEALAND > AUSTRALIA > TASMANIA"
"NASA/GCMD Earth Science Keywords", "FACE > Free Air CO2 Enrichment Program"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Loewe Massif"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | SOLID EARTH | ROCKS/MINERALS/CRYSTALS | METAMORPHIC ROCKS"
"NASA/GCMD Earth Science Keywords", "CONTINENT > AUSTRALIA/NEW ZEALAND > AUSTRALIA > KINGSTON"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > PLANTS > ANGIOSPERMS (FLOWERING PLANTS)"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Radiation | Reflectance"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | ATMOSPHERE | ATMOSPHERIC PRESSURE | SEA LEVEL PRESSURE"
"NASA/GCMD Earth Science Keywords", "ERS-1 > European Remote Sensing Satellite-1"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOLOGICAL CLASSIFICATION | ANIMALS/INVERTEBRATES | MOLLUSKS | BIVALVES | OYSTERS"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Circulation | Wind-driven Circulation"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > PALEOCLIMATE > LAND RECORDS > ISOTOPES"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS | MARINE ECOSYSTEMS | COASTAL | KELP FOREST"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SOLID EARTH > TECTONICS > PLATE TECTONICS > FAULT MOVEMENT"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Marine Biology | Marine Habitat"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Agriculture | Forest Science | Forest Fire Science"
"GCMD Keywords", "Earth Science | Agriculture | Agricultural Chemicals | Pesticides"
"NASA/GCMD Keywords, Version 8.5", "MARINE ADVISORIES"
"NASA/GCMD Earth Science Keywords", "OCEAN > INDIAN OCEAN > EASTERN INDIAN OCEAN"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Ocean Waves | Swells"
"GCMD Keywords", "Earth Science | Oceans | Ocean Temperature"
"NASA/GCMD Earth Science Keywords", "BOTTOM TRAWL"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | CLIMATE INDICATORS | PALEOCLIMATE INDICATORS | PALEOCLIMATE RECONSTRUCTIONS | DROUGHT/PRECIPITATION RECONSTRUCTION"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > DAVIS SEA"
